年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30	天候	光線	道路類別	速限	道路型態	事故位置	路面鋪裝	路面狀態	路面缺陷	障礙物	視距	號誌種類	號誌動作	分向設施	快車道或一般車道間	快慢車道間	路面邊線	事故類型及型態	事故類別
2012	1	1	8	20	24.782285	121.018745				8			50															3
2012	1	1	11	50	24.80357935	120.9961211				8			50															3
2012	1	1	15	52	24.8682845	120.9533929	0	2	0	7	1	5	50	4	1	1	5	4	5	7	2	1	10	5	5	2	16	2
2012	1	1	2	46	24.8078131	120.964634				8			50															3
2012	1	1	18	58	24.809453	120.959526	0	1	0	7	3	5	50	14	9	1	5	4	5	7	4	4	9	5	5	2	16	2
2012	1	1	5	48	24.7911918	120.9265043	0	1	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	5	5	2	18	2
2012	1	1	22	4	24.74265185	120.9081092	0	3	0	8	3	5	60	4	1	1	5	4	5	7	1	1	10	5	5	2	15	2
2012	1	2	9	25	24.83324075	120.9468056	0	0	0	8	1	5	50	14	9	1	5	4	5	7	4	4	10	5	5	2	12	3
2012	1	2	10	50	24.7991891	120.9533827				8			50															3
2012	1	2	3	52	24.7922354	120.9323808				8			50															3
2012	1	2	15	3	24.7677206	120.9158014	0	2	0	8	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	12	2
2012	1	2	21	45	24.8119989	120.9644536				8			50															3
2012	1	2	20	32	24.8140991	120.968693				8			50															3
2012	1	2	19	52	24.7845022	120.9674484				8			40															3
2012	1	1	14	55	24.8001525	120.9896318	0	4	0	8	1	5	50	4	1	1	5	4	5	7	2	1	10	5	5	2	15	2
2012	1	2	22	2	24.818963	120.995719				8			50															3
2012	1	2	19	0	24.8102286	120.9629201				8			50															3
2012	1	2	21	30	24.797621	120.969173	0	1	0	7	1	5	50	4	8	1	5	4	5	7	4	4	5	4	5	2	16	2
2012	1	3	4	0	24.805912	120.964785	0	2	0	8	3	5	40	14	9	1	5	4	5	7	4	4	10	5	5	2	13	2
2012	1	2	17	30	24.80985965	120.9553303	0	1	0	7	1	5	50	14	8	1	5	4	5	7	4	4	1	4	1	1	11	2
2012	1	3	7	21	24.787994	120.928589				8			50															3
2012	1	2	13	0	24.7318662	120.9153228				8			50															3
2012	1	2	17	35	24.78189075	121.0250699				8			50															3
2012	1	2	18	30	25.036856	121.445335				8			50															3
2012	1	3	8	18	24.7964959	120.9448446	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	5	5	1	16	2
2012	1	3	20	0	24.782805	121.019027							50															3
2012	1	2	18	21	24.8150922	120.9852896				8			50															3
2012	1	3	9	26	24.796911	120.961387				8			50															3
2012	1	4	7	10	24.802071	120.9546306				6			50															3
2012	1	4	8	30	24.79654665	120.9561181	0	1	0	6	1	5	50	8	9	1	4	4	5	7	4	4	5	5	5	2	1	2
2012	1	4	8	30	24.793843	120.9245906				8			40															3
2012	1	4	10	20	24.801449	121.0005474				8			50															3
2012	1	4	12	0	24.801825	120.956007				8			50															3
2012	1	4	11	59	24.7785021	120.93796	0	2	0	7	1	5	40	3	1	1	4	4	5	7	4	4	10	5	5	2	16	2
2012	1	4	21	0	24.7729067	120.9770276				8			50															3
2012	1	5	3	30	24.7832442	121.0177491				6			50															3
2012	1	5	8	0	24.81913655	120.9956861				8			50															3
2012	1	4	16	10	24.8095863	120.9664756	0	1	0	7	1	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	17	2
2012	1	4	21	39	24.8009351	120.9698904	0	1	0	7	3	5	50	3	1	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	1	4	14	30	24.80160725	120.9870464				8			50															3
2012	1	4	16	0	24.8174923	120.9732816				8			40															3
2012	1	4	16	50	24.8000749	120.9684946				8			50															3
2012	1	5	7	45	24.8085581	120.95874				6			50															3
2012	1	5	19	22	24.815545	120.985923				8			50															3
2012	1	4	14	36	24.8109645	120.969934				8			50															3
2012	1	4	17	26	24.7949501	120.970382				8			50															3
2012	1	5	22	23	24.784222	121.014599				8			50															3
2012	1	4	15	10	24.8059491	120.962251	0	1	0	7	1	5	50	14	9	1	5	4	5	7	4	4	4	4	5	2	18	2
2012	1	4	16	45	24.8682845	120.9533929	0	1	0	8	1	5	50	4	1	1	5	4	5	7	3	1	10	5	5	2	15	2
2012	1	4	20	31	24.7763191	121.018009	0	1	0	8	3	5	50	14	9	1	5	4	5	7	4	4	9	5	4	2	16	2
2012	1	4	22	35	24.7942971	120.973386				8			50															3
2012	1	5	9	30	24.782253	121.023616	0	1	0	6	1	5	40	4	1	1	4	4	5	7	4	4	10	5	5	2	16	2
2012	1	5	19	20	24.7889055	120.9667233	0	1	0	7	3	5	50	14	9	1	4	4	5	7	1	1	5	5	5	1	18	2
2012	1	6	1	5	24.793286	120.954794				6			50															3
2012	1	2	15	32	24.8165101	120.965484				8			50															3
2012	1	1	0	31	24.79823585	120.962975				8			50															3
2012	1	5	8	5	24.8094724	120.9695861	0	2	0	6	1	5	50	5	1	1	4	4	5	7	1	1	10	5	5	2	9	2
2012	1	7	7	10	24.8363155	120.9398668	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	1	13	2
2012	1	5	12	51	24.8027491	120.978165				6			40															3
2012	1	4	16	24	24.80506925	120.9511663				8			50															3
2012	1	7	9	53	24.7983487	121.0086791				8			50															3
2012	1	7	9	55	24.8111542	120.9875644	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	1	13	2
2012	1	7	2	54	24.831899	121.011524				8			40															3
2012	1	7	10	29	24.83324075	120.9468056				8			50															3
2012	1	7	15	2	24.79353725	121.0147574				8			50															3
2012	1	6	8	40	24.788201	121.019022				6			50															3
2012	1	7	18	10	24.8222791	120.958678	0	2	0	7	3	5	50	14	9	1	5	4	5	7	4	4	9	5	5	1	3	2
2012	1	1	10	35	24.781047	121.025887	0	1	0	8	1	5	50	3	1	1	5	4	5	7	3	1	10	5	5	2	12	2
2012	1	1	15	2	24.7958451	120.925075				8			50															3
2012	1	6	16	20	24.8319397	120.9515322				6			50															3
2012	1	6	17	50	24.7882139	120.9286821	0	1	0	6	3	5	60	3	1	1	4	4	5	7	1	1	10	5	5	2	3	2
2012	1	7	20	12	24.8214621	120.9520581	0	1	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	5	5	1	13	2
2012	1	1	15	45	24.8042903	120.9752282				8			50															3
2012	1	2	16	0	24.809535	120.960404	0	1	0	8	1	5	50	14	9	1	5	4	5	7	1	1	1	4	5	2	13	2
2012	1	6	14	10	24.7999211	120.960644				6			50															3
2012	1	6	15	53	24.81123965	120.9650413				6			50															3
2012	1	2	13	10	24.7672024	120.9794822	0	1	0	8	1	5	50	4	1	1	5	4	5	7	3	1	10	5	5	2	16	2
2012	1	5	17	0	24.808053	120.9611347				8			50															3
2012	1	6	11	35	30.569631	114.368146				6			50															3
2012	1	2	8	30	24.7354474	120.9129485				8			50															3
2012	1	7	18	0	24.8039111	120.978279				8			40															3
2012	1	4	8	58	24.8047718	120.9556443				6			50															3
2012	1	4	14	59	24.7883507	120.9286567				8			40															3
2012	1	5	8	9	24.811445	120.974993				6			40															3
2012	1	5	14	18	24.795085	120.961576				6			40															3
2012	1	5	18	38	24.807956	120.957826				8			50															3
2012	1	7	7	0	24.79452	121.011411				8			50															3
2012	1	7	9	55	24.6909183	120.9406202				8			50															3
2012	1	7	12	9	24.7964463	121.0102183				8			90															3
2012	1	5	11	11	24.804317	120.96459				6			50															3
2012	1	5	14	13	24.7768421	121.006254				6			40															3
2012	1	8	7	30	24.8141071	120.9770615	0	1	0	7	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	17	2
2012	1	6	20	30	24.807956	120.957826	0	1	0	6	3	5	50	14	9	1	4	4	5	7	4	4	1	4	4	2	17	2
2012	1	8	11	50	24.8937373	121.0271688				8			50															3
2012	1	8	11	37	24.8234601	120.97591				8			40															3
2012	1	8	15	20	24.794252	121.000486				8			50															3
2012	1	8	19	0			0	1	0	6	3	5	50	14	9	1	4	4	5	7	4	4	1	4	5	2	12	2
2012	1	8	19	58						8			50															3
2012	1	8	17	30	24.7532557	120.9101807				6			60															3
2012	1	8	19	15	24.821698	120.9270346	0	2	0	6	3	5	50	3	1	1	4	4	5	7	1	1	10	5	5	2	16	2
